(Product),(Customer),(Purchase Date),Cost Amount,Profit After Tax,Profit Before Tax,Discounted Sales,Undiscounted Sales
Xerox 1941,Yoseph Carroll-Englig,10/20/2001,564.78,714.072,892.59,1457.37,1675.97
Epson FX-880+ Dot Matrix Printer,Maxwell Schwartz,10/20/2001,1118.27,418.288,522.86,1641.13,1838.07
Things To Do Today Spiral Book,Frank Olsen,10/20/2001,120.67,35.072,43.84,164.51,202.347
Zoom V.92 USB External Faxmodem,Thomas Seio,10/20/2001,1538.46,176.048,220.06,1758.52,2110.22
Acco Keyboard-In-A-Box,Hilary Holden,10/21/2001,448.54,3.168,3.96,452.5,533.95
Iris Project Case,Sandra Glassco,10/21/2001,201.75,-53.05,-53.05,148.7,165.057
Xerox 1940,Jim Sink,10/21/2001,793.93,484.576,605.72,1399.65,1735.57
Xerox 1973,Pierre Wener,10/22/2001,77.48,7.992,9.99,87.47,105.839
Economy Rollaway Files,Lela Donovan,10/22/2001,3288.82,1181.63,1477.04,4765.86,5147.13
Newell 326,Lela Donovan,10/22/2001,57.31,1.624,2.03,59.34,65.867
Euro-Pro Shark Turbo Vacuum,Sandra Glassco,10/22/2001,134.56,-23.62,-23.62,110.94,127.581
Avery 486,Jim Sink,10/22/2001,49.17,56.192,70.24,119.41,142.098
Contemporary Borderless Frame,Jim Sink,10/22/2001,239.84,-21.18,-21.18,218.66,262.392
Xerox 1906,Pierre Wener,10/23/2001,20.97,15.72,19.65,40.62,47.119
Staples 10Inch Round Wall Clock,Tanja Norvell,10/23/2001,155.25,-3.91,-3.91,151.34,180.095
Economy #2 Pencils,Jason Gross,10/23/2001,201.47,-67.34,-67.34,134.13,144.86
Phone 918,Sandra Glassco,10/23/2001,4049.09,2151.53,2689.41,6738.5,8288.35
Siemens Accessory12,Sandra Glassco,10/24/2001,65.19,79.856,99.82,165.01,186.461
Standard Rollaway File with Lock,Sandra Glassco,10/24/2001,5567.48,2564.26,3205.32,8772.8,9474.62
Xerox 1950,Sandra Glassco,10/24/2001,342.74,-77.02,-77.02,265.72,324.178
Astroparche Fine Business Paper,Jim Sink,10/24/2001,21.04,-0.78,-0.78,20.26,23.907
Newell 342,Jim Sink,10/24/2001,191.62,-80.62,-80.62,111,116.55
Xerox 1992,Jim Sink,10/24/2001,51.47,-7.15,-7.15,44.32,54.514
Newell 344,Iggy Osterman,10/25/2001,12.55,0.648,0.81,13.36,16.299
Acco Expandable Hanging Binders,Lela Donovan,10/25/2001,260.22,-39.58,-39.58,220.64,266.974
SC7868i,Yoseph Carroll-Englig,10/25/2001,1643.97,883.584,1104.48,2748.45,3325.62
Avery Poly Binder Pockets,Sandra Glassco,10/25/2001,81.54,-34,-34,47.54,58.474
GBC Durable Plastic Covers,Sandra Glassco,10/25/2001,162.69,-2.48,-2.48,160.21,182.639
Siemens Accessory39,Seth Vernon,10/25/2001,994.79,33.24,41.55,1036.34,1274.7
Stackable Trays,Jim Sink,10/25/2001,121.84,-64.46,-64.46,57.38,69.43
Canon PC1080F Personal Copier,Victor Price,10/25/2001,5049.72,6328.05,7910.06,12959.8,13996.6
KI Adjustable-Height Table,Jas O_Carroll,10/26/2001,2666.48,-593.57,-593.57,2072.91,2508.22
Vinyl Sectional Post Binders,Mary Zewe,10/26/2001,48.55,52.272,65.34,113.89,120.723
Eldon Fold _N Roll Cart System,Mathew Reese,10/26/2001,652.26,-49.91,-49.91,602.35,686.679
Newell 323,Seth Vernon,10/26/2001,20.49,-4.4,-4.4,16.09,17.216
Avery 481,David Flashing,10/26/2001,10.65,15.184,18.98,29.63,31.408
DPC 650 Piper,Jack O_Briant,10/27/2001,3209.61,1555.62,1944.52,5154.13,6339.58
4009 Highlighters,Michael Moore,10/27/2001,35.97,0.496,0.62,36.59,40.981
Ideal Clamps,Michael Moore,10/27/2001,71.53,11.84,14.8,86.33,104.459
Xerox 216,Michael Moore,10/27/2001,154.61,-52.45,-52.45,102.16,125.657
Nokia V70,Mary Zewe,10/27/2001,4217.16,1912.07,2390.09,6607.25,7994.77
Maxell 4.7GB DVD-R,Mathew Reese,10/27/2001,49.39,26.432,33.04,82.43,93.146
Xerox 214,Karen Seio,10/28/2001,311.11,-108.37,-108.37,202.74,214.904
Super Bands  12/Pack,Jason Gross,10/28/2001,73.89,-37.91,-37.91,35.98,39.218
Xerox 1982,Olvera Toch,10/28/2001,1031.1,-192.99,-192.99,838.11,938.683
Prang Drawing Pencil Set,Mary Zewe,10/28/2001,45,-1.61,-1.61,43.39,52.936
Xerox 1966,Mary Zewe,10/28/2001,359.31,-83.09,-83.09,276.22,306.604
Xerox 1919,Sandra Glassco,10/28/2001,412.33,335.256,419.07,831.4,989.366
Avery 517,MaryBeth Skach,10/28/2001,60.87,55.648,69.56,130.43,138.256
Siemens Accessory41,Karen Seio,10/29/2001,235.99,163.504,204.38,440.37,493.214
Electrix Halogen Magnifier Lamp,Deanra Eno,10/29/2001,883.24,392.368,490.46,1373.7,1511.07
Fellowes Binding Cases,Henia Zydlo,10/29/2001,319.61,35.2,44,363.61,418.152
Newell 335,Henia Zydlo,10/29/2001,23.13,2.56,3.2,26.33,31.596
Xerox 1941,Henia Zydlo,10/29/2001,391,458.488,573.11,964.11,1108.73
Hon 5100 Series Wood Tables,Olvera Toch,10/29/2001,7654.74,467.472,584.34,8239.08,10134.1
Staples 10Inch Round Wall Clock,Steven Roelle,10/29/2001,261.99,2.136,2.67,264.66,314.945
Hon Olson Stacker Chairs,Patrick O_Brill,10/29/2001,8442.54,3021.8,3777.25,12219.8,14663.7
Luxo Economy Swing Arm Lamp,David Flashing,10/29/2001,1128.14,-212.98,-212.98,915.16,979.221
Talkabout T8097,Thomas Seio,10/29/2001,5138.57,2457.1,3071.37,8209.94,9195.13
Xerox 1945,Thomas Seio,10/29/2001,936.54,733.712,917.14,1853.68,2205.88
Xerox 1966,Meg Tillman-Sachs,10/29/2001,8.98,3.256,4.07,13.05,14.486
Nokia 6360,Karen Seio,10/30/2001,5979.56,2718.26,3397.83,9377.39,10033.8
Sony Silver 80 Minute CD-R,Karen Seio,10/30/2001,45.59,-13.69,-13.69,31.9,35.728
Nokia 2180,Lela Donovan,10/30/2001,983.74,425.4,531.75,1515.49,1742.81
Xerox 1912,Jason Gross,10/30/2001,158.2,74.592,93.24,251.44,264.012
Epson FX-980 Dot Matrix Printer,Steven Roelle,10/30/2001,4271.63,2194.03,2742.54,7014.17,8627.43
Eldon Simplefile Box Office,Heather Jas-Hannaway,10/30/2001,521.07,7.336,9.17,530.24,588.566
Electrix Halogen Magnifier Lamp,Mary Zewe,10/30/2001,630.88,211,263.75,894.63,984.093
Cameo Buff Policy Envelopes,Patrick O_Brill,10/30/2001,1126.68,1303.98,1629.98,2756.66,3418.26
Avery 485,David Flashing,10/30/2001,105.23,99.296,124.12,229.35,259.166
T28 WORLD,David Flashing,10/30/2001,2151.93,943.92,1179.9,3331.83,3531.74
Staples Highlighting Markers,Meg Tillman-Sachs,10/30/2001,135.53,51.128,63.91,199.44,223.373
StarTAC ST7867,Iggy Osterman,10/31/2001,1087.76,348.368,435.46,1523.22,1736.47
Xerox 1923,Suzanne McNair,10/31/2001,382.19,-51.04,-51.04,331.15,407.314
StarTAC ST7762,Olvera Toch,10/31/2001,319.58,149.84,187.3,506.88,537.293
Siemens Accessory9,David Flashing,10/31/2001,104.02,98.072,122.59,226.61,249.271
Xerox 1902,David Flashing,10/31/2001,252.92,114.432,143.04,395.96,423.677
Nokia 768,Speros Goranitis,10/31/2001,1680.83,849.424,1061.78,2742.61,3291.13
Document Clip Frames,Jesus Ocampo,11/1/2001,27.28,19.352,24.19,51.47,56.102
210 Trimline Phone  White,Suzanne McNair,11/1/2001,312.41,-22.61,-22.61,289.8,359.352
Avery 491,Dario Medina,11/1/2001,124.83,70.656,88.32,213.15,240.86
6Inch Cubicle Wall Clock  Black,David Wiener,11/1/2001,95.39,-19.56,-19.56,75.83,90.996
Poly String Tie Envelopes,Herbert Flentye,11/1/2001,59.56,-37.26,-37.26,22.3,26.314
Xerox 1965,Herbert Flentye,11/1/2001,132.65,-29.62,-29.62,103.03,109.212
Nokia 3390,Peter McVee,11/1/2001,600.94,306.408,383.01,983.95,1200.42
Belkin ErgoBoard(TM) Keyboard,Jesus Ocampo,11/2/2001,1253.46,123.52,154.4,1407.86,1689.43
Acme Kleen Earth Office Shears,Olvera Toch,11/2/2001,184.2,-47.24,-47.24,136.96,162.982
Coloredge Poster Frame,Steven Roelle,11/2/2001,35.5,8.6,10.75,46.25,50.413
Xerox 1963,Steven Roelle,11/2/2001,92.45,-36.44,-36.44,56.01,63.291
Memorex 4.7GB DVD+RW  3/Pack,Mary Zewe,11/2/2001,80.29,69.08,86.35,166.64,184.97
Xerox 1945,Mary Zewe,11/2/2001,418.45,344.232,430.29,848.74,1010
Xerox 1999,Mary Zewe,11/2/2001,378.71,-96.57,-96.57,282.14,307.533
Bionaire 99.97% HEPA Air Cleaner,Speros Goranitis,11/2/2001,67.72,11.752,14.69,82.41,100.54
DAX Solid Wood Frames,Speros Goranitis,11/2/2001,257.03,9.472,11.84,268.87,333.399
Nokia T18,Speros Goranitis,11/2/2001,65.76,33.432,41.79,107.55,127.985
Newell 322,Jesus Ocampo,11/3/2001,74.31,-2.45,-2.45,71.86,86.232
Nokia 7190,Jesus Ocampo,11/3/2001,3872.49,2173.26,2716.58,6589.07,7511.54
Nokia 6185i,Suzanne McNair,11/3/2001,641.83,289.312,361.64,1003.47,1143.96
Bevis 36 x 72 Conference Tables,Yoseph Carroll-Englig,11/3/2001,2998.48,-401.67,-401.67,2596.81,3168.11
Nokia T60,David Wiener,11/3/2001,1583.67,972.32,1215.4,2799.07,3358.88
Xerox 1950,David Wiener,11/3/2001,312.93,-60.79,-60.79,252.14,307.611
Fashion Color Clasp Envelopes,Harold Pawlan,11/3/2001,53.37,14.832,18.54,71.91,81.977
Personal Folder Holder  Ebony,Robert Marley,11/3/2001,132.6,-33.45,-33.45,99.15,104.108
Sony IBM Color Diskettes  25/Pack,Maxwell Schwartz,11/4/2001,64.15,-43.46,-43.46,20.69,24.414
Nokia T18,Steven Roelle,11/4/2001,2170.22,1040.42,1300.53,3470.75,4130.19
Xerox 1992,Yoseph Carroll-Englig,11/5/2001,36.76,6.24,7.8,44.56,54.809
3M Organizer Strips,Sue Ann Reed-Freeman,11/5/2001,185.78,-82.29,-82.29,103.49,120.048
Newell 314,Quincy Jones,11/5/2001,40.48,13.232,16.54,57.02,67.284
Fellowes Binding Cases,Sarah Jordon-Smith,11/5/2001,144.34,28.792,35.99,180.33,207.38
StarTAC Analog,Barbara Fisher,11/5/2001,874.51,210.704,263.38,1137.89,1206.16
Advantus SlideClip(TM) Paper Clips,Naresj Patel,11/6/2001,19.62,10.488,13.11,32.73,38.621
BASF Silver 74 Minute CD-R,Naresj Patel,11/6/2001,82.85,-29.65,-29.65,53.2,58.52
Berol Giant Pencil Sharpener,Naresj Patel,11/6/2001,592.14,-35.12,-35.12,557.02,657.284
Peel & Seel Envelopes,Sharelle Roach-McGee,11/6/2001,228.44,-81.39,-81.39,147.05,174.99
SC-3160,Sharelle Roach-McGee,11/6/2001,479.24,145.384,181.73,660.97,812.993
Logitech Cordless Navigator Duo,Robert Marley,11/6/2001,2118.32,1330.7,1663.38,3781.7,4538.04
Xerox 1954,Robert Marley,11/6/2001,216.22,-62.83,-62.83,153.39,162.593
Faber Castell Col-Erase Pencils,Naresj Patel,11/7/2001,159.16,-33.29,-33.29,125.87,151.044
Angle-D Ring Binders,Yoseph Carroll-Englig,11/7/2001,285.5,-60.89,-60.89,224.61,242.579
Avery 476,Yoseph Carroll-Englig,11/7/2001,2.11,1.736,2.17,4.28,5.05
Avery 493,Sharelle Roach-McGee,11/7/2001,68.03,56.536,70.67,138.7,160.892
6Inch Cubicle Wall Clock  Black,Sarah Jordon-Smith,11/7/2001,393.5,-124.84,-124.84,268.66,322.392
Siemens Accessory12,Sarah Jordon-Smith,11/7/2001,749.72,1077.38,1346.72,2096.44,2368.98
Hanging Personal Folder File,Jason Gross,11/7/2001,434.07,-129.39,-129.39,304.68,335.148
Avery Durable Poly Binders,Lena Cacioppo,11/7/2001,420.29,-180.5,-180.5,239.79,294.942
Newell 34,Debra Catini-Entman,11/7/2001,169.06,27.616,34.52,203.58,244.296
Siemens Accessory12,Rick Reed,11/7/2001,1140.88,1438.43,1798.04,2938.92,3320.98
Xerox 1953,Ellis Ballard,11/7/2001,178.85,-77.89,-77.89,100.96,111.056
Acco Keyboard-In-A-Box,Yoseph Carroll-Englig,11/8/2001,140.17,1.32,1.65,141.82,167.348
KI Adjustable-Height Table,Lynn Smith-Reed,11/8/2001,3179.27,-451.76,-451.76,2727.51,3300.29
Tennsco Industrial Shelving,Sarah Jordon-Smith,11/8/2001,1738.69,-642.43,-642.43,1096.26,1260.7
Xerox 1998,Sarah Jordon-Smith,11/8/2001,24.65,0.576,0.72,25.37,26.892
Microsoft Natural Keyboard Elite,Barbara Fisher,11/8/2001,767.66,218.096,272.62,1040.28,1175.52
Xerox 202,Barbara Fisher,11/8/2001,51.01,-0.07,-0.07,50.94,60.619
Logitech Access Keyboard,Debra Catini-Entman,11/8/2001,510.13,84.2,105.25,615.38,726.148
Xerox 202,Ellis Ballard,11/8/2001,116.6,-11.33,-11.33,105.27,125.271
Nokia 6360,Hilary Holden,11/9/2001,2865.2,1517,1896.25,4761.45,5094.75
Avanti 1.7 Cu. Ft. Refrigerator,Deanra Eno,11/9/2001,1684.03,337.536,421.92,2105.95,2548.2
Binder Posts,Quincy Jones,11/9/2001,355.18,-72.57,-72.57,282.61,325.002
Harmony HEPA Quiet Air Purifiers,Mary Zewe,11/9/2001,512.4,-61.5,-61.5,450.9,495.99
Xerox 1917,Barbara Fisher,11/9/2001,24.56,22.392,27.99,52.55,64.111
Acco Expandable Hanging Binders,Debra Catini-Entman,11/9/2001,137.34,-22.56,-22.56,114.78,138.884
Xerox 224,William Brown,11/10/2001,428.55,-164.37,-164.37,264.18,327.583
Holmes HEPA Air Purifier,MaryBeth Skach,11/10/2001,185.13,57.896,72.37,257.5,290.975
Wilson Jones Impact Binders,Mary O_Rourke,11/11/2001,311.8,-92.19,-92.19,219.61,267.924
KI Conference Tables,Lela Donovan,11/12/2001,280.68,-62.67,-62.67,218.01,268.152
Xerox 1927,William Brown,11/12/2001,33.73,-10.63,-10.63,23.1,27.72
Deluxe Chalkboard Eraser Cleaner,Robert Marley,11/12/2001,11.01,14.032,17.54,28.55,34.26
Avery Hanging File Binders,Nathan Mautz,11/13/2001,19.11,10.52,13.15,32.26,35.163
Xerox 203,Jane Waco,11/13/2001,555.72,-267.35,-267.35,288.37,337.393
Nokia 768,Shui Tom,11/13/2001,3011.48,1673.08,2091.35,5102.83,6123.4
Nokia R280,Laura Armstrong,11/14/2001,4265.3,2288.76,2860.95,7126.25,8123.93
Global Leather Executive Chair,Robert Marley,11/14/2001,8353.6,2599.63,3249.54,11603.1,13227.6
Xerox 223,Jim Sink,11/14/2001,85.21,-23.23,-23.23,61.98,76.235
Belkin 7 Outlet SurgeMaster II,Nathan Mautz,11/15/2001,390.05,202.424,253.03,643.08,752.404
Newell 328,Nathan Mautz,11/15/2001,194.1,-8.53,-8.53,185.57,202.271
Longer-Life Soft White Bulbs,Mathew Reese,11/15/2001,9.78,0.008,0.01,9.79,11.161
Adjustable Personal File Tote,Jim Sink,11/15/2001,349.79,-107.95,-107.95,241.84,266.024
Xerox 1900,Jim Sink,11/15/2001,274.48,-100.36,-100.36,174.12,201.979
Ideal Clamps,Thomas Seio,11/15/2001,38.26,4.32,5.4,43.66,52.829
Nokia T68,Thomas Seio,11/15/2001,3399.2,2031.02,2538.77,5937.97,6234.87
Nokia 6360,Hallie Redmond,11/16/2001,1744.04,1035.94,1294.93,3038.97,3251.7
Xerox 1914,Hallie Redmond,11/16/2001,320.39,280.064,350.08,670.47,757.631
Advantus Push Pins,Lynn Smith-Reed,11/16/2001,112.28,-6.27,-6.27,106.01,129.332
Contemporary Wood/Metal Frame,Lynn Smith-Reed,11/16/2001,205.66,5.96,7.45,213.11,257.863
Global Comet(TM) Stacking Arm Chair,Lena Cacioppo,11/16/2001,6139.96,1689.21,2111.51,8251.47,9406.68
Nu-Dell Float Frame 11 x 14 1/2,Nathan Mautz,11/16/2001,314,21.96,27.45,341.45,416.569
Xerox 1942,Mathew Reese,11/16/2001,1744.59,468.56,585.7,2330.29,2609.93
Avanti 1.7 Cu. Ft. Refrigerator,Debra Catini-Entman,11/16/2001,3148.4,918.192,1147.74,4296.14,5198.33
Siemens Accessory39,Jim Sink,11/16/2001,730.87,-14.7,-14.7,716.17,880.889
Avery 500,Thomas Seio,11/16/2001,114.72,104.72,130.9,245.62,265.27
Newell 309,Mary O_Rourke,11/17/2001,139.4,21.944,27.43,166.83,180.176
Nokia 768,Quincy Jones,11/17/2001,140.07,56.4,70.5,210.57,252.684
Xerox 208,Maurice Satty,11/17/2001,478.37,-212.74,-212.74,265.63,281.568
Belkin ErgoBoard(TM) Keyboard,Hilary Holden,11/18/2001,194.98,23.568,29.46,224.44,269.328
Newell 350,Hilary Holden,11/18/2001,389.34,-227.69,-227.69,161.65,189.131
Computer Room Manger  14Inch,Joseph Airdo,11/18/2001,322.07,115.784,144.73,466.8,555.492
Xerox 1965,Laura Armstrong,11/18/2001,374.53,-105.38,-105.38,269.15,285.299
Tennsco Double-Tier Lockers,Rick Reed,11/18/2001,2669.44,216.064,270.08,2939.52,3174.68
StarTAC Analog,Herbert Flentye,11/18/2001,485.84,146.384,182.98,668.82,708.949
Nu-Dell Oak Frame,MaryBeth Skach,11/18/2001,315.73,32.88,41.1,356.83,396.081
Xerox 1995,MaryBeth Skach,11/18/2001,7.59,10.816,13.52,21.11,23.221
Microsoft Office Keyboard,Hilary Holden,11/19/2001,1458.87,226.528,283.16,1742.03,2003.33
Avery Poly Binder Pockets,Jesus Ocampo,11/19/2001,81.54,-24.92,-24.92,56.62,69.643
Xerox 1952,Deanra Eno,11/19/2001,140.27,-36.42,-36.42,103.85,109.042
Fellowes High-Stak Drawer Files,Tracy Zic,11/19/2001,1574.4,371.296,464.12,2038.52,2181.22
Xerox 1975,Frank Olsen,11/19/2001,249.66,-20.45,-20.45,229.21,249.839
Xerox 203,Joseph Airdo,11/20/2001,567.3,-234.25,-234.25,333.05,389.668
Xerox 188,Lynn Smith-Reed,11/20/2001,318.23,70.12,87.65,405.88,430.233
Safco Drafting Table,Harold Pawlan,11/20/2001,4787.94,-1333.17,-1333.17,3454.77,4007.53
Avery 503,Henia Zydlo,11/20/2001,197.6,209.888,262.36,459.96,524.354
Cardinal Hold-It CD Pocket,Heather Jas-Hannaway,11/20/2001,535.12,-118.82,-118.82,416.3,507.886
Xerox 1982,MaryBeth Skach,11/20/2001,438.22,-33.23,-33.23,404.99,453.589
Xerox 1890,Maurice Satty,11/20/2001,135.17,119.632,149.54,284.71,318.875
Advantus SlideClip(TM) Paper Clips,Hallie Redmond,11/21/2001,37.27,19.952,24.94,62.21,73.408
Stacking Trays by OIC,Hallie Redmond,11/21/2001,78.67,-6.91,-6.91,71.76,75.348
Canon Image Class D660 Copier,Jesus Ocampo,11/21/2001,8788.53,9184.46,11480.6,20269.1,22296
Xerox 219,Joseph Airdo,11/21/2001,360.99,-55.08,-55.08,305.91,339.56
Staples Metal Binder Clips,Lynn Smith-Reed,11/21/2001,14.57,5.92,7.4,21.97,25.046
Newell 31,David Wiener,11/21/2001,63.43,6.928,8.66,72.09,85.787
Timeport P8167,David Wiener,11/21/2001,3094.82,1238.83,1548.54,4643.36,5200.56
Staples Pushpins,Heather Jas-Hannaway,11/21/2001,5.19,0.664,0.83,6.02,6.742
GBC Personal VeloBind Strips,MaryBeth Skach,11/21/2001,374.94,46.048,57.56,432.5,536.3
EcoTones Memo Sheets,Deanra Eno,11/22/2001,58.38,18.016,22.52,80.9,87.372
Siemens Accessory28,Thomas Boland,11/22/2001,1958.87,106.184,132.73,2091.6,2551.75
Xerox 1987,Lynn Smith-Reed,11/22/2001,326.55,-101.08,-101.08,225.47,261.545
Economy #2 Pencils,Noel Staavos,11/22/2001,40.29,-11.23,-11.23,29.06,31.385
Airmail Envelopes,David Wiener,11/22/2001,1712.15,736.616,920.77,2632.92,2843.55
Xerox 1999,David Wiener,11/22/2001,185.32,-25.14,-25.14,160.18,174.596
Avery 509,Heather Jas-Hannaway,11/22/2001,53.13,30.856,38.57,91.7,103.621
Avery Hanging File Binders,Skye Norling-Christen,11/22/2001,114.67,52.272,65.34,180.01,196.211
Holmes 99% HEPA Air Purifier,Skye Norling-Christen,11/22/2001,303.04,-22.06,-22.06,280.98,325.937
Newell 308,Robert Marley,11/22/2001,32.45,4.08,5.1,37.55,45.435
Acco Hanging Data Binders,Frank Olsen,11/22/2001,313.64,-135.02,-135.02,178.62,192.91
Acme Softgrip Scissors,MaryBeth Skach,11/22/2001,169.25,-36.95,-36.95,132.3,160.083
StarTAC 7797,Mary O_Rourke,11/23/2001,3115.84,1924.16,2405.2,5521.04,6846.09
Avery Metallic Poly Binders,Michael Oakman,11/23/2001,52.22,-6,-6,46.22,57.775
Targus USB Numeric Keypad,Thomas Boland,11/23/2001,1841.26,90.088,112.61,1953.87,2149.26
StarTAC Series,Steven Roelle,11/23/2001,1045.06,423.992,529.99,1575.05,1811.31
Avery 5,Heather Jas-Hannaway,11/23/2001,4.61,3.968,4.96,9.57,10.336
Microsoft Multimedia Keyboard,Nathan Mautz,11/23/2001,1059.04,58.288,72.86,1131.9,1369.6
Nokia T2297,Skye Norling-Christen,11/23/2001,1525.32,715.904,894.88,2420.2,3001.05
Plastic Binding Combs,David Flashing,11/23/2001,794.35,-27.93,-27.93,766.42,873.719
Xerox 1921,MaryBeth Skach,11/23/2001,131.26,8.048,10.06,141.32,175.237
Nokia T2297,Michael Oakman,11/24/2001,1234.78,567.24,709.05,1943.83,2410.35
Newell 320,Noel Staavos,11/24/2001,110.22,1.744,2.18,112.4,137.128
Novimex Turbo Task Chair,Nathan Mautz,11/24/2001,3190.8,-524.62,-524.62,2666.18,3066.11
Avery 507,David Flashing,11/24/2001,76.29,44.104,55.13,131.42,160.332
Nokia CF 788,David Flashing,11/24/2001,1015.41,191.792,239.74,1255.15,1355.56
Xerox 1960,David Flashing,11/24/2001,344.83,143.872,179.84,524.67,587.63
Logitech Elite Keyboard,Mary O_Rourke,11/25/2001,242.46,30.736,38.42,280.88,303.35
Xerox 1991,Jasper Cacioppo,11/25/2001,444.28,96.928,121.16,565.44,593.712
Avery 483,Noel Staavos,11/25/2001,123.15,70.568,88.21,211.36,234.61
Xerox 216,David Wiener,11/25/2001,20.62,5.912,7.39,28.01,34.452
File Shuttle I and Handi-File,Mathew Reese,11/25/2001,1187.19,-329.99,-329.99,857.2,1028.64
Stockwell Gold Paper Clips,Sandra Glassco,11/25/2001,86.04,0.816,1.02,87.06,91.413
U.S. Robotics 56K PCI Faxmodem,Shui Tom,11/25/2001,1385.82,411.84,514.8,1900.62,2109.69
Newell 322,Naresj Patel,11/26/2001,80.18,-10.11,-10.11,70.07,84.084
Wilson Jones Active Use Binders,Naresj Patel,11/26/2001,227.38,-22.42,-22.42,204.96,237.754
Premier Electric Letter Opener,Noel Staavos,11/26/2001,1640.49,4.832,6.04,1646.53,2041.7
Siemens Accessory2,Noel Staavos,11/26/2001,160.22,93.096,116.37,276.59,290.419
Xerox 212,Jennifer Patt,11/26/2001,161.96,-61.71,-61.71,100.25,109.272
X-Rack(TM) File for Hanging Folders,Naresj Patel,11/27/2001,549.48,-35.05,-35.05,514.43,576.162
Xerox 1966,Nona Balk,11/27/2001,17.97,1.072,1.34,19.31,21.434
Polycom VoiceStation 100,Sandra Glassco,11/27/2001,6174.49,6483.63,8104.54,14279,15992.5
Maxell 4.7GB DVD+R 5/Pack,Victor Price,11/27/2001,97.02,-54.67,-54.67,42.35,51.667
Binder Clips by OIC,Deanra Eno,11/28/2001,34.93,11.136,13.92,48.85,58.132
Memorex 4.7GB DVD-RAM  3/Pack,Roy Skaria,11/28/2001,352.76,306.64,383.3,736.06,890.633
Logitech Cordless Navigator Duo,Nona Balk,11/28/2001,1966.58,1181.85,1477.31,3443.89,4132.67
Avery Non-Stick Binders,Sandra Glassco,11/28/2001,119.92,24.552,30.69,150.61,167.177
Staples #2 Yellow Pencils,Sandra Glassco,11/28/2001,102.69,-28.69,-28.69,74,82.88
Safco Commercial Shelving,Rose O_Brian-Murray,11/29/2001,218.02,-58.38,-58.38,159.64,189.972
Hon Mobius(TM) Operator_s Chair,Hilary Holden,11/29/2001,5925.77,-13.8,-13.8,5911.97,6621.41
Xerox 212,Karen Seio,11/29/2001,377.92,-148.34,-148.34,229.58,250.242
Translucent Push Pins by OIC,Deanra Eno,11/29/2001,82.31,-0.59,-0.59,81.72,89.075
Xerox 1944,Iggy Osterman,11/29/2001,271.55,59.216,74.02,345.57,414.684
Microsoft Natural Keyboard Elite,Roy Skaria,11/29/2001,959.58,163.584,204.48,1164.06,1315.39
Avery 485,Harold Pawlan,11/29/2001,152.58,167.584,209.48,362.06,409.128
Economy #2 Pencils,Harold Pawlan,11/29/2001,161.18,-45.94,-45.94,115.24,124.459
Advantus Rolling Storage Box,Tracy Zic,11/29/2001,596.28,92.824,116.03,712.31,812.033
Fiskars Spring-Action Scissors,Frank Olsen,11/29/2001,486.44,-36.6,-36.6,449.84,517.316
Xerox 218,Meg O_Connel,11/29/2001,321.09,-32.47,-32.47,288.62,314.596
Xerox 1981,Victor Price,11/29/2001,15.36,7.952,9.94,25.3,30.107
Nokia 8860,Rose O_Brian-Murray,11/30/2001,1477.5,499.568,624.46,2101.96,2270.12
Maxell 4.7GB DVD-R 5/Pack,Jasper Cacioppo,11/30/2001,19.09,-9.34,-9.34,9.75,11.505
Lexmark Z25 Color Inkjet Printer,Noel Staavos,11/30/2001,2351.68,492.4,615.5,2967.18,3412.26
Master Caster Door Stop  Gray,Roy Skaria,11/30/2001,304.82,-56.15,-56.15,248.67,280.997
Micro Innovations 104 Keyboard,Roy Skaria,11/30/2001,662.52,-91.61,-91.61,570.91,696.51
Nokia LX 788,Roy Skaria,11/30/2001,298.39,145.848,182.31,480.7,523.963
Siemens Accessory23,Roy Skaria,11/30/2001,397.78,503.432,629.29,1027.07,1232.48
StarTAC 3000,Roy Skaria,11/30/2001,3034.89,1256.64,1570.8,4605.69,5250.49
Xerox 1962,Laura Armstrong,11/30/2001,240.57,-77.48,-77.48,163.09,194.077
Nokia 6160m,Jennifer Patt,11/30/2001,453.82,240.384,300.48,754.3,829.73
Xerox 214,Tracy Zic,11/30/2001,320.54,-74.21,-74.21,246.33,261.11
Nokia i500plus,Meg O_Connel,11/30/2001,2121.32,968.4,1210.5,3331.82,3998.18
Avery Durable Poly Binders,Rose O_Brian-Murray,12/1/2001,173.6,-72.31,-72.31,101.29,124.587
Newell 325,Rose O_Brian-Murray,12/1/2001,133.06,15.44,19.3,152.36,184.356
Nokia KF 788,Deanra Eno,12/1/2001,1168.29,522.68,653.35,1821.64,2167.75
Xerox 1906,Deanra Eno,12/1/2001,209.67,92.752,115.94,325.61,377.708
Executive Impressions 14Inch,Iggy Osterman,12/1/2001,496.8,176.28,220.35,717.15,846.237
Nokia I888,Jasper Cacioppo,12/1/2001,589.17,280.328,350.41,939.58,995.955
Project Tote Personal File,Jasper Cacioppo,12/1/2001,223.95,-47.66,-47.66,176.29,213.311
GBC Linen Binding Covers,Nathan Mautz,12/1/2001,461.85,124.4,155.5,617.35,716.126
Nokia 3360,Patrick O_Brill,12/1/2001,1715.48,670.232,837.79,2553.27,3089.46
Avery 497,Tracy Zic,12/1/2001,44.27,26.56,33.2,77.47,90.64
